id,content,type
1963020625,"@ekardmatt well you MY man, you and your truck are 900 too many miles away!!",sadness
1965519933,@Elixabef I hear you   Any time earlier than 11am is just mean!,empty
1694746750,"@morningsteppa  yeah, big chill here too good foods, good music, great weather!  have a cool day Bro!",neutral
1963608695,"oh no, gotta fillout more paperwork for my new job, daayum, this is going to take a while!",hate
1752674452,"@Dolcetk You too, my friend",neutral
1960751234,@anitapsays what happened?  are you suffering from neck/shoulder/back pain like me?  i can't move either,worry
1963706468,"@shtoofi  i know the feeling, working so much sucks hardcore. we need to hang out soon",worry
1961191747,@tommcfly Please don't forget french fans ! We are HERE !,neutral
1961689036,"@YarnThing oh Marly, I'm so sorry!!  I hope you find her soon!! &lt;3 &lt;3",worry
1752699671,goodnight to all,happiness
1957471796,"@milosundae akhrnya The Hills nggi..90210-nya macet2..HIMYM cm ada season4,pdhl gw nyari season3nya",neutral
1694493599,"@supersense ooooo,  an explanation?, Thank god for that or u would forever be wondering!..I love a good night mare tho!!",love
1752444499,"@xennyeh Sure, I'll be in chat in a sec   Here's the thread http://tinyurl.com/ojcf5l",enthusiasm
1752723407,Happy Mothers Day,love
1965069737,seniors done  5 more days!! woohoo!! going out for the night.,happiness
1960489887,http://tinyurl.com/nqudrt - Hurt my finger at work,sadness
1957567222,I didn't catch the Jonas Brothers Facebook Webcast...  It already ended when I logged in to my Facebook account...,worry
1960127657,doesnt want to go to work,worry
1962458885,"Not enough pizza ordered, so I didn't get any. And it was Pizza Delight too!",surprise
1694569409,@lyssiecc hahah im way too lazy to check my phone  ooo michells! are you wtaching the recruits?,neutral
1753820093,@Lastoadri or maybe start your own Arabic teaching podcast?,neutral
1753029897,"this thing really demands a lot of time! anyways, gotta get some breakfast and watch naruto's latest episode",happiness
1961607707,@sweetpea2809 Nor here... Sad times,sadness
1963808992,didnt cry at the end but was very sad to see the last episode of ER. man that was a good series.,sadness
1752847927,"@kixsal The Star Trek in IMAX wasn't in 3D, but it was huge on the screen.  Still worth watching.",sadness
1753820450,@zionxpress happy mothers day,neutral
1695846181,"Old enough to know better, young enough to not CARE!",neutral
1753400553,@mom2twnsn2000  you should enter the giveaway then!!!! who couldn't use $25...I know I could,neutral
1963820254,I'm at mcdonalds eating chicken nuggets with my kid so embarrased I droped my soda  haha it fell out of my tray lol,relief
1962517887,I smell cake but I don't see any cake on the oven!,surprise
1753418245,@dom_dollaz Yay...you like CT. People always tryna shit on it when they've never even been there.,hate
1695165457,@AlainaFrederick LOL! Thanks for showing me @Naiyanan's site. I won't tell hubby if you won't.,love
1962515157,@lowenstein @jerm_bob7 I'll update you. I had to leave him at the vet for tests and xrays.,worry
1965521663,tired as fuck. it's pissing down with rain. i miss summer,boredom
1965398724,Has a head cold,sadness
1962839676,"Getting my butt kicked by this project  I have the idea, but can't get it perfect.",relief
1960310068,"@runaholickassy i spent the whole day shopping with Aiza.  i don't really like shopping.  still, i had fun but my feet didn't.",worry
1964209801,@ericmaglio1 i have no phone  whatchu doing tonight sucka. no dane cook she sold the tickets. lamee.,boredom
1753584631,Made some good money for 5 1/2 hrs worth of work not bad I needed that tonight good stuff  after the murphys law week I had the other wk,neutral
1694017552,@MrRvM ruilen?,neutral
1695769269,@TeoBishop I hate it when that happens!! Exciting though.,love
1964561709,@animalria what?? why?,surprise
1964451215,395 votes for Hungary?What? But....but...the Nurburgring...  http://tinyurl.com/mtfye3,surprise
1694126832,3 hours @FrazzleYeah oh my. Is it shorts weather do you know. I'd do my usual hanging out my window but the neighbours are out.,worry
1962980201,Very sad that my camera is in the hands of the Geek Squad. 2-3 weeks!,worry
1963991825,producing the 6 with @PieterBickford then anchoring... and a sad goodbye to Miss Lynne Ashminov  we will miss you!,sadness
1961766552,sore from ultimate... trying to figure out how to pay for school next semester...,worry
1694238722,@unreal_g: I`ve been sneezing and felt like a train-wreck for the last two weeks myself. But it`s not piggystuff.  So we`re good then.,neutral
1752226693,doing Accounting homework  Just nicely got a 50p for the project &lt;3,love
1752224505,"@skotot Oh, that said, the sellout was a fluke. It turns out the projector was broken.   I still think the film is bloody good times, tho.",enthusiasm
1695081888,@pratikjain4 welcome,empty
1965814419,@BriaNicoleSison Why aren't you at blue martini with me??,worry
1751358157,@piticu21 4n? ma rog  never heard of it  esti beat acum? u tweet too much,worry
1752799825,@BackpackingDad Whooo Baby! Good luck,fun
1965522993,@KidFury I dont see it? where do u see it listed at cause I dont,surprise
1753759546,"@khtemplar is my son - he gets my vote today coz he has grown into a loving, caring 'soul-full' man - who loves his mum",neutral
1695963058,@snappingturtle @Jonin60seconds requested the date - and he is the guest of honour after all...,happiness
1965367097,Work is a no go,sadness
1753696021,"Exchange story gone, yaaaay! On with Sweet Charity",love
1752873977,"@rjramos yeh take ur time, no pressure   how did u learn to twirl around the knifes and stuff?",surprise
1695617676,@MsMandyMay Awesome pics! It's a nice way to start the week,relief
1960306067,"@aianna21 @nandiaramos Sadly not, no. They're his colleagues and it's a work party",sadness
1961825813,"@BiggaBX Yes, It's only fair  lol",sadness
1965893112,i have a headache,worry
1753095984,@emilyjonesmusic  awww thank you,happiness
1695162933,@coliwilso hmm.. should be okay with any of 'em - DM me your e-mail and I'll send the install notes over,neutral
1960158758,wants to smoke a cig but doesn't have a lighter.,love
1962485545,Cried my eyes out watching My Girl last period   hahah,sadness
1694978583,@DarrynLyonsMrP It's a tough life you lead!,neutral
1962927275,@ambbboo Playing with lighters fire matches and grass,neutral
1965652222,going to bed  cant take thiss any longeerr maan. [U],sadness
1696133272,@Pixeljunkie202 Kind of glad I never started Kings now - one less thing to be upset about,worry
1957274215,Noones talking to me anymore,worry
1965821103,2 days &amp; 5 text messages this month,empty
1753742755,@andyclemmensen whens the sway sway winner announced?,neutral
1961492979,Not looking forward to this long trip in the morning. I'm sick,worry
1962215085,Education doesn't move forward because we keep repeating our past (sigh),worry
1962873793,@Undented do you have a password for the San Diego show? Mine is not working,surprise
1961967308,@lewdogg I wish I could afford to attend those benefits.,love
1966055979,i going to go to bed &amp; i failed miserably at booking a holiday  although i do seem to have a new follower. HIGH FIVE. X,sadness
1695252313,why yes jeeves. bring me that noose there  TOO MANY ASSIGNMENTS!,worry
1751395214,"@cestcassie Aw, that song makes me think of girl scouts.",happiness
1752697743,@amcknight30 thanks for following,enthusiasm
1957336806,@kimoraklein my sleep pattern is screwed i need to try and stay up 2 midnight so i can get some decent sleep coz i havent slept,empty
1960381185,"Sold bikes faster than expected, and we are running out of sizes.    Luckily the single speeds are on the ocean now! ETA -  EO June.",happiness
1696086188,Right all strapped in and ready to go   http://twitpic.com/4jloj,fun
1753401106,@sm bacoor  wahaha may wifi toinks new hair wiih short.. short.. http://plurk.com/p/sveoi,neutral
1751644646,"@taylorswift13 TAYLOR! are you back in Nashville now..or LA? well, how was your trip? did ya have fun? love ya girly!",love
1752055077,@Custardcuppcake how is Aussie...im hopin to be there in Sydney in less than a week just got my VISA on thursday whoot whoot,happiness
1964492070,I hate watching the News. Why do such awful things happen?,hate
1960216757,just got back home with my disappointing report card,neutral
1695922582,hmm i dont know what to do today....cause im done with school...and it feel great,happiness
1694273523,@ElvisHsiao You can go to www.TwitPic.com and log in with your Twitter details to add pics,neutral
1964705883,"Okay, whats up with twitter,, :/ my laptop is completely broke, and now my computer is acting up   so I dont reckon I will be on for t ...",sadness
1957147848,So wish the Carlton game was on live  stupid channel 7 lol.,surprise
1957484585,3/4 through project car 1.,neutral
1963870457,@smaknews sorry about that anna wintour repeated tweets!! sooo sorry  somethings up... | was wondering abt the quad tweet ;),worry
1752750702,what a lazy sunday... I love lazy days...,love
1694220381,"@kerryetches Yep they are open, it's Sunday hours tho",neutral
1965590205,on my way to shreveport to forget all the bad things he's brought into my life,sadness
1753836615,you are my apple and i wana take a bite,love
1753681038,@ Cleaning the house! going out at 3 to see a soccergame with friends,neutral
1753758689,just got home and my kitty was by my door waiting for me,love
1753601899,"@morrick I'm feeling much less alone now in my love for Fitzcarraldo, most people I mention it to have no idea what I am talking about.",love
1695343586,@LeviFig Already fixed that actually,relief
1965763824,"ok, son in bath, so gonna see if I can find some quick quotes.  Gonna miss ya'll this weekend. I'm already gettin sad",sadness
1963548301,On way home tonight I saw a newspaper headline 'Susan Boyle quits....' surely not true,neutral
1753449668,Is eating poutine and listening to mitch hedburg,neutral
1957484797,playing bejewled on facebook.. damn it i want a higherscore!,neutral
1957051517,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",sadness
1961268658,"@SpookyJenB @diver4skynsea Stop it, you are makin' me sad",sadness
1957612030,@theguiltshow ikr!!!,neutral
1961124103,@MGGubler Sounds painful   Sorry you got hurt.. And may I ask how this happen?,worry
1694928100,@bonbonita Thanks!,neutral
1965933623,there is poor lost duck outside of Olive Garden. that makes me sad,worry
1963155900,@sophhs cool. I'm tempted too see it again  I feel sorry for JB though because there were hardly any people,sadness
1965804451,me salvem,neutral
1694878670,"@yuniphan Yay! Congratulations, oh newly minted graduate. You'll have to let me buy you lunch and iced chocolates (PLURAL) to celebrate!",happiness
1962019301,where is @HoodieCouture ???,neutral
1965437025,nooooooo  sue is retiring  no no no no!,sadness
1961214088,@INTYCEYOU hey love whats up! my voice is shot  whats new with you,love
1694726980,@andycroll can you repeat what was bad about singapore pools website please?,worry
1694903294,@HollaAtK Hey  Did you have a good weekend buddy?,fun
1696216134,@CraftedClay  most name brands have dairy even if it's called 'semi-sweet' or 'dark'.  I'll try to get some in the HelloVeggies Store!,fun
1694550861,@PembsDave Hope you're having a relaxing day. I feel so laid back I can't stand up,happiness
1751464272,@ikovannoy seperate = Yum. Together = gross sounding.,neutral
1751000983,"@doctorsound I am 28 and I still haven't been to a club. Lots of bars, though. I don't think I'm missing much",empty
1752919433,happy mamas day to all the baby mamas... and the baby mamas mamas,love
1957331850,@Radio702 Tshwane wants double rates but try and phone to get service - endless loop #fail,worry
1964672508,@katecameron2002 o can't work that one out  pain in the ass them spammers,hate
1966326447,"I left a chocolate egg sitting in my office, and now it's calling my name......................",neutral
1960492482,"i saw some lovely skinny jeans today for ï¿½3 at a charity shop, but they were just a little bit tight on my thighs.  ahhh so annoying",love
1957119780,"@IkramShahnawaz Oh I love 'em, but when I think about the kind of preservatives they're using to stay &quot;just-baked&quot; it kinda makes me sick",love
1963473872,@SavingAmalthea that sucks,hate
1958062208,Tired of hearing stories about everybody going to Ibiza...,neutral
1957116748,Just saw a fox!  as i was getting on the freeway... I hope it goes home,surprise
1752590467,@ddlovato Woo! Twitter kind of sucked without you.,neutral
1960762713,"browsin thru the videos in my multiply and i saw the video u sang with my bf. i miss you, N. we all miss you. pls come back wherever u r.",sadness
1694072590,@girlwhoshould but it's fun when they blatantly ignore the advice,happiness
1957636887,gawd the rain is too strong,worry
1965436179,"@jacvanek omggg, how were the &quot;crazy cobras&quot; i wantewd to see them when they were in London",surprise
1961174382,"1 more goal, Gila!! But his last game is against milan. Dillematic 4 me",worry
1751538680,Just saw Zack and Miri Make a Porno with @marissamariposa and @mlewicki . sooo good.,surprise
1961453227,"hungry, but don't have an appetite",neutral
1964722705,"nothing much, just chattin, and textn. you noe me; gosh i wanted to go see UP and Drag me to hell, but no one will go with me.",empty
1964805390,Leaving Wildwood tomorrow  but Luke says we will be back soon!,neutral
1751036864,"Good morning, everyone!",love
1965253769,it's ridiculously warm in bed,fun
1753632881,@itslauraaa Yeah i like it,fun
1753500035,"Yesterday was AWESOME ! Sunny day, best friends, good food &amp; tons of fun - what more could you ask for ?",happiness
1962195549,@nick_carter THE LINK DOESNT WOR,worry
1694882128,Created a new album on my Facebook for my Phantom cross stitch  I want to track my own progress so I feel like I am getting something done,neutral
1752723992,@cindyasuen - JT on SNL tonight.,neutral
1752917901,awesomeness....she comes my way...lol..dun dun dun!,happiness
1960353551,I feel like such a failure this morning,sadness
1961369507,NOO!! XBOX got red rings of death,sadness
1961491871,Jealousy makes u into a different person ... I freakin hate being this way  gotta suck it up I guess,hate
1962693920,@lorib709 sorry you aren't feeling well!,worry
1961532770,@webchickbot The portuguese national library could use it also. Right now they seem to be in a ca. 1995 web. Example http://u.nu/7y68,neutral
1964953297,"@LadyHaych Totally agree, she wasn't even as good as the judges said wither! Just said it to make her feel better",worry
1695411317,@BroadwayManor  they are a long way from the sea  unless they came from Gloucester docks.,neutral
1957493949,nothing,neutral
1961770771,I want to party down!,worry
1752123061,I hope my mom enjoys her Mother's Day gift,happiness
1960433726,Hi there all! Can't stay to long have to go to work soon,worry
1965442023,"Having some Coronas, and have a bad craving for Mexican pastries, but i'd have to go to Uptown to get some",sadness
1961573717,is sad cuz my mommy leaves to indy today,sadness
1962573102,@Klzm31sT me too.,sadness
1752322091,@aeakett And who says I wasn't just muttering to myself?,neutral
1753712825,Here's a brief preview: http://bit.ly/eHCfP   OMG James is creepy in that role! I'm scared of him,worry
1695766460,watching my tiny nephew  perfect baby,love
1753312558,@kman_19 aw check out what i JUST posted http://eveinbangkok.blogspot.com  i really admire your mom. she's a strong woman. god bless her,love
1695924054,@beautyandbedlam Make sure you come back and comment again!,neutral
1695249681,@xHayleeey they are finally getting ready i see on msn  ahaha  have fun fun fun,happiness
1694164358,"Just had some strawberries for afternoon snack, I love strawberries!! Gonna make a strawberry smoothie tonight after the gym",love
1693975852,nothings better then going out for chinese at the supperinn with ma fave cousins at 1am,happiness
1751644814,Bleah a tad tipsy and too many cup cakes. Maddies birthday tomorrow + family party,happiness
1964627665,"Back @ home AGAIN .. bathing kids, ironing clothes for hubby .. nephew's graduation tonight! I remember when he was 2!",happiness
1961528716,"@markfriend I asked mum bout going out tommorow, she laughed in my face lmao",happiness
1961213348,@SuperWiki i want to gooo,neutral
1751212329,"7 hours and many massages later, I can now spend time with my wife and son. It's mother's day ya'll. Don't forget to grab a gift or card.",relief
1960537095,Getting ready for week  Its too nice today to be stuck inside working!,hate
1753415569,COTTIN WITH EMILYYYYYYYY,neutral
1753452852,@Do38 home? where the heck are you? Ima be home so soon! iA!,worry
1961487029,"Jeff can't get his visa in time to come visit me!    I'm so sad.  In other news, I'm going to Lapa tonight to samba the night away.",sadness
1753805870,"@RobPattinson444 hello  i am ur biggest fan, and i rly carnt w8 till new moon comes out! good luck 2 u nd all the cast filming  xxx",love
1963603623,Why are CDs in HMV so overpriced? ï¿½12.99 for @billyraycyrus? I hate having no money,hate
1964740557,@purlingsprite that is a bummer,worry
1695620117,"got tickets to go with dad and his girlfriend to see Eric Clapton, Steve Winwood, and the Arc Angels on June 24th @ Toyota Center! WOO!",relief
1751751363,@mikeyway http://twitpic.com/4vw9a - I'm not gonna buy one...nor two... But three! I will be the ultimate slaughter machine!,fun
1694834298,Respect to @fresh01 for the Heineken man bag  http://twitpic.com/4jdrg,sadness
1961896436,"I know it wasn't going to be there, but I check EZTV for The Office torrent...",neutral
1957378809,@Humangummybear Doodle whats wrong?,worry
1693975041,watching the office......... also comedy gold,neutral
1963107440,@iamdiddy I NEED A HUG! IM MOVING HOUSE ALL BY MYSELF AND IM MAJORLY STRESSED,worry
1963746000,"@yankeeragu I think they're really good, so that probably damns them to obscurity.",neutral
1694166698,COME ON GIVE HER NICE HOME  http://tinyurl.com/dhgkc9,neutral
1751465970,"happy mothers day. @jadeeisabel oh and no i havent read it yet, will do now",love
1957633056,@davidmarkscott another letter for you - this one car insurance - ouch,surprise
1965286457,@Impala_Guy Sorry about youï¿½re mom  But itï¿½s great to hear your dad is the best - then you forgive him the SPARKLE ?,worry
1965650962,http://twitpic.com/67twh - This has never happened before =/ orange blinky lights. I think I've broke my battery again,worry
1962526627,@rizzzky he's retiring from the tonight show  im so bummed. he was awesome ha. AND CONGRATS MY DEAR,sadness
1961282930,"can't wait to get his hands on his new blackberry, this one is dying on me",worry
1695193832,"@suareasy http://twitpic.com/4bbcy - aww, sweet !!",fun
1962472497,"GAWD, I'm so tired still! I have to move out of here into my new place by 5:30 PM, cause I work.  So stressed! #FB",hate
1694588075,@craigend I only do computers. Am hopeless at everything else,worry
1695547208,@HilzFuld Were have you been?,worry
1964577425,@hptwilighter I'm dying to read it!  I hate England.,hate
1753216572,uploading some pictures,neutral
1960215417,yeha i broke their page... damit... im trying to fix it how... hope you dont bank with communityfirstandtrust,worry
1957511036,i cant afford it  go to school here ? !!,worry
1957195703,my phone still doesnt tweet,neutral
1752087762,"@acinerba Oh man, that sux... price u pay for being on the org chart (and responsible, and stuff...)",worry
1694239803,"@lilmomz Just been in that kind of mood, not reason at all. Lol, but I'll try not to be too mushy around you!  I can behave!",love
1962829198,New picture isn't working,worry
1957075180,Smh @ hiphop nursery rhymes,neutral
1957413976,you ever come across something that reminds you alot of the one person that completely broke your heart? cause i just did,sadness
1752256208,"Talking to my good friend Neika on myspace... I used to be friends with her, then hated her, and now am great friends with her again!!",love
1752257523,DUCKED OFF! I'LL BE BACK IN GA TOMORROW.,sadness
1752291165,@abiFACE thanks for havin us overrr!,happiness
1962146660,Still in meeting... I want some coffee right now cuz I didn't sleep well,worry
1964752888,I Want To Go See Up. But I Don't Want To Go With My Mom And Brother.,neutral
1962983353,I just got back to London to discover.....still no tickets,worry
1694492617,@rahulgoyal1986 Thank you.  I love my tattoos they are all very special to me xx My feet ones are beautiful  xx,love
1694033379,@khali_blache Night! Doze well.,happiness
1751750773,Funny how hittin a sale at coach and bath &amp; bod works makes my day that much better! Shopaholic? Guilty.,neutral
1961544968,"I think a cat is trapped in my back garden but cant find it. Hopefully its in someone elses garden, dont fancy finding a poorly cat",worry
1751501995,im thinking that im going to have fun tonight....and maybe some changes are coming,fun
1957345027,fell asleep waiting for my ride!,sadness
1963991826,Santana - Maria Maria (The Wraith)  ? http://blip.fm/~7a10a,worry
1963059649,@dougiemcfly me too,empty
1960669699,@OfficialBabyV : yes she got all lovey with him&amp; he returned the love&amp;1thing led2 another&amp;  also @BrittanySnow wants2 know y ur mad at her,neutral
1753585327,"@sentimentalizzy lady in the water is pure bs, but i remember enjoying his other films.",happiness
1753516124,Why is it that America celebrates mother's day on a different day to England? Anyhooo...Happy Mother's Day 2 All American Mumzys!  x,hate
1966122663,GRRRR!!! It's BACK!!!!! And what I mean is my headache  But on the *       *        bright side....it's only on one side!!!! /\/\/\/\/\,worry
1752192709,Just got a bunch of presents in the mail from my mama! So excited to open them on my birthday... 3 more days!,happiness
1961876403,"Back @ work, migraine lingering   Can't wait for the weekend!",sadness
1694511381,"@twilightfairy ah well diff in opinion, no problemo",relief
1752698214,@mycaricature Keep the suggestions coming...I love the classics!,fun
1752414631,live long and prosper !  lol star trek was the best!,happiness
1957244537,"@toddh3284 T, im sooooo bored right now",neutral
1695921265,putting 3 new consultants to work this week. it's a good feeling!  congrats on your offers,happiness
1961248529,work til 9,neutral
1957052167,@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!,neutral
1962990842,@AbbyRo good good same sched for me too sadly,sadness
1753869452,Happy Mothers Day to all you mom out there,happiness
1753790238,@edsaint lol @ half - I already have a bulky desktop- I'm geared up for super slim and light: SSD performance is unreal,fun
1694928944,"@Mossyy Not a problem,  Glad to!",happiness
1962520786,@mraeannon thank u!! I know I'll miss u too  Ill take pics as soon as I get there I need your email txt it to me or something,sadness
1963330944,@ddlovato hey how is everything going? please reply back. sometimes i think you hate me because you never reply back to me,worry
1964206152,"@LittleMissLea HAHAHAHAHAHAHAHAHAHAHAHA I love it!!! No, actually, I have been having mad cravings lately though",love
1752871771,@ddlovato My mum loved the Camp Rock mothers day card I gave her. I knew she would. Happy Mothers Day from New Zealand! Haha ILY lots  xx,love
1961815174,@enave22 Hey! You have a bunch of events on facebook that jenny and i aren't invited to...  we're sad,worry
1963531905,No one is at the tesla dealership,sadness
1752847740,Watching jackass the movie  http://twitpic.com/4wlgi,empty
1695341928,"@MattthewHoare please don't tell me they've cut the price of macbooks.. although if photoshop has been reduced, that'd be great",sadness
1957178636,why do i think i have to take medicine cuz i was laughing to hard?. my head should not be in this much pain. i thought laughter was gud,worry
1957192957,Bummed that F! F! F! broke up,hate
1752941888,"@ElegySanft I don't say it, I KNOW it.  Because I'm just good like that",neutral
1753727883,@Santbrink boffert,worry
1694071032,OMGSH IM BEING FOLLOWED BY &gt;&gt;PARAMORE&lt;&lt; :O,surprise
1694421505,@jocalling hope our wishes come true someday.,happiness
1751888186,Dad just gave me his old BlackBerry. Not that old... But it doesn't even have a scroll ball. I want that Bold.,worry
1753311105,@madberry TestFest was weer een groot succes,happiness
1694272608,"Actually I've been in here, holed up quite nicely, for hours. This is one of those times I regret never having married or gotten a cat",neutral
1753837782,"@NukeSpoon precisely.  The more followers you have, the more important you feel  http://twitter.pbworks.com/Hashtags explains a bit more.",empty
1965515750,@AsheyPooh aaahh i know!! i was spose to but i had to take my dad to the airport.  next weeek fasho!,neutral
1751644899,I WANT A HUG!,neutral
1964319278,is missing Tampa,neutral
1695193171,@jessie_ho i like the sound of that,love
1961549493,mymaths time....if only i cud read the mind of a nerd durin the exam,neutral
1961742133,"@Steffisticated If they recorded it and sent it to people, they obviously meant for it to get out there.  But if they didn't, I feel bad.",sadness
1966091796,@tmjassociation y does it hurt so much? i can't even chew gum.  i've lost so much weight because i can't even eat,worry
1694726834,"Eating Toast  ~Peanut Butter,,Yum",neutral
1961291085,My throat is killing me,worry
1964289254,@MrsSeear me too! Yay he got in. And the other kid who cries a lot,relief
1753568516,@ponny rofl! we aren't wearing dark grungy though! I asked bradie if it was ok he said yess,neutral
1696087210,"@GaryED46 I'm supposed to be bug fixing, and I'm Twittering, too. It's not good enough. It's Twitter or work. Bug fixing will have to go.",worry
1956989914,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),worry
1752087707,"Multiply's getting boring :| I wish Reichelle has twitter. @isaofoz, convince recruit herr, will ya?",fun
1695028536,@nhoustonreed Hi!! How are you? You're an amazning actress  Greets from Slovenia,love
1962117283,Does not feel good at all today,worry
1957523236,"@ddlovato july 21st!?? that means at your concert I won't know all the songs.  oh well, yay demi!! &lt;3",love
1960544388,Last time we'll get tacos like this.,happiness
1751176719,Chocolate milk and subway. MMM,enthusiasm
1752590870,Its good to have an old friend at ur new job. Another good day at work. Paycheck day will be even better,relief
1694203681,"@HellenBach Sounds like the very best sort of work then! Jenni seems lovely,so nice to hear that she is when meeting 'in the flesh' too!",happiness
1694183880,Watching Bleach,happiness
1694403395,@andyclemmensen aww thanx andy,love
1960149561,My wiki project is going to have to wait another month  But manager thinks I need loads of time to prepare + has halved my workload,worry
1753665242,@JayElectronica Good Morning Chairman of the board! www.youtube.com/watch?v=ivFM0pYyUcy its a living thing....!,neutral
1965892983,"@kraeth She really loves that ride, doesn't she?  Too bad I wasn't there recording it",sadness
1966179879,"still can't figure this twitter thing out, i can't my background pic to stick and i can't seem to change my profile pic",hate
1694530598,is eating a delicious cheese-bread  (much batter than ANY  Bagle),fun
1695582593,In Study Hall with Brittneyy!!,love
1957147618,@colstewart You're cycling tho' that's good. Healthy eating  Healthy and eating are a contradiction in terms.,relief
1695766779,working on the callsheet,worry
1964032589,"@mckenzie15 yeah, we get out june 4th...  blahhh (yet another reason the south is better!)",neutral
