player ID,Batting Avg.,Strike rate,L/R Handed Batsman,Wicket keeping,economy,avg speed,fitness index,Sixes,fours,Fast bowling,Leg Spin,Off Spin,against fast bowl,against leg spin,against off spin,Fanbase,Catch percentage,Region,Not selected
383206,1,4,1,5,6,5,6,6,6,7,7,6,8,9,7,8,6,RGB8,0
727497,2,3,1,10,9,10,10,8,6,10,6,7,9,7,8,10,10,RGB2,0
203850,2,3,1,9,6,6,8,9,6,8,7,7,9,9,8,8,7,RGB4,0
760552,0,5,1,9,10,9,10,8,5,8,8,9,9,9,10,9,8,RGB9,0
492189,2,4,1,6,5,6,7,6,4,5,6,7,8,6,6,6,5,RGB8,0
195668,1,2,2,10,10,10,5,10,10,9,5,10,10,8,2,10,10,RGB9,0
937013,3,4,1,8,5,6,7,8,5,6,7,7,8,8,7,8,5,RGB4,0
743522,1,2,1,10,8,6,10,8,7,10,8,10,10,10,9,10,10,RGB6,0
131877,0,5,1,7,8,8,7,8,7,6,8,5,7,8,-1,8,7,RGB8,0
754465,na,3,1,6,6,9,5,7,6,5,5,8,8,6,5,5,7,RGB2,0
235033,0,5,1,4,6,7,6,5,7,6,5,6,4,4,7,8,6,RGB10,0
482232,3,4,1,7,5,8,9,7,8,4,5,8,9,9,9,7,6,RGB1,0
542884,6,3,2,5,6,6,5,5,5,5,5,6,6,6,5,6,5,RGB5,0
689698,2,4,1,8,5,7,7,7,6,7,6,5,8,8,6,8,10,RGB2,0
592149,6,3,2,7,7,8,6,7,6,8,8,7,8,7,8,9,6,RGB7,0
628497,2,3,2,10,9,8,10,10,9,8,10,9,10,10,9,8,10,RGB9,0
123145,0,3,1,10,8,10,10,6,8,7,10,9,6,9,7,9,10,RGB10,1
898812,1,2,1,8,7,7,10,8,10,7,6,7,8,8,7,8,7,RGB9,1
286963,2,3,1,9,10,10,5,10,9,10,5,7,10,10,8,8,9,RGB10,0
360566,3,2,1,10,7,8,10,6,8,9,9,10,9,10,10,7,5,RGB2,0
799936,1,5,1,8,7,7,6,7,5,7,5,8,10,9,8,10,9,RGB4,0
314225,6,4,2,8,5,5,8,8,5,8,8,5,8,5,8,8,8,RGB6,0
258511,0,5,1,6,8,7,8,6,8,6,6,8,7,6,5,7,7,RGB10,0
739310,6,4,2,8,6,7,8,6,8,8,8,7,8,6,7,7,8,RGB7,0
639095,2,3,1,7,6,7,2,6,6,8,3,7,7,7,7,7,7,RGB9,0
254509,6,5,2,5,2,2,10,0,0,0,0,5,10,10,0,5,0,RGB1,1
127761,6,4,2,7,10,7,7,10,10,8,10,10,6,5,8,8,6,RGB3,0
435775,2,3,1,9,5,8,6,4,9,7,2,1,8,8,6,6,9,RGB5,1
661952,1,4,1,8,9,6,8,7,7,8,-3,7,7,7,8,8,8,RGB2,1
516426,0,4,1,2,2,0,2,6,1,1,4,5,4,6,1,6,4,RGB6,1
704251,1,5,1,6,5,7,8,8,6,5,6,6,5,7,6,7,5,RGB5,0
682349,1,3,1,8,5,6,9,9,8,9,7,7,6,10,9,6,8,RGB6,1
687029,2,3,1,4,8,6,6,8,6,6,7,7,-1,9,9,8,8,RGB9,0
255020,0,5,2,5,5,2,6,0,0,3,5,8,7,4,7,8,3,RGB3,0
694961,3,3,1,7,10,10,7,5,9,10,10,6,10,10,10,10,10,RGB10,0
387080,0,4,1,6,6,5,6,6,7,7,6,6,6,6,-1,6,5,RGB5,0
649730,1,5,*,9,5,6,8,5,10,6,7,6,8,7,6,5,10,RGB9,0
454118,3,3,1,4,6,7,4,4,5,5,5,5,6,6,5,7,7,RGB9,0
829429,3,3,1,6,6,7,5,7,6,7,7,6,7,8,7,8,5,RGB7,0
399628,2,3,na,6,6,6,6,8,4,5,5,6,6,7,5,5,5,RGB2,0
799505,2,4,2,5,-1,10,5,8,10,10,10,-1,5,10,-1,10,5,RGB10,0
233702,1,4,1,5,5,9,5,3,5,7,5,5,8,10,10,10,8,RGB7,0
427950,6,2,2,8,2,8,7,5,2,3,4,4,6,9,7,9,2,RGB2,0
580895,3,4,1,9,6,10,10,3,7,8,8,6,8,9,8,5,8,RGB5,1
968136,0,5,2,8,3,6,8,8,5,4,8,7,9,9,9,9,4,RGB3,0
899312,4,2,1,7,7,8,5,6,8,8,6,6,8,7,-1,7,6,RGB5,0
566314,0,4,*,6,5,8,6,8,8,7,5,4,10,7,8,9,4,RGB5,0
136623,3,4,2,7,6,6,5,6,5,5,6,-1,7,7,6,7,7,RGB6,0
810792,4,2,1,3,5,6,5,4,5,4,4,6,5,6,5,8,6,RGB9,0
374297,2,4,1,6,7,5,7,9,6,7,8,7,8,8,8,8,5,RGB4,0
813597,1,3,1,7,7,7,6,7,7,6,6,6,8,8,7,9,6,RGB7,0
973153,2,4,1,8,8,8,6,8,6,6,6,7,7,8,5,8,6,RGB2,0
224691,2,3,1,7,9,6,5,8,7,7,9,6,10,6,9,10,8,RGB4,0
309172,3,3,1,8,0,9,8,7,5,10,7,8,8,4,8,5,7,RGB9,1
903996,6,2,2,8,6,7,4,-1,3,6,4,3,4,7,-1,6,5,RGB7,0
551953,2,5,1,6,7,4,7,5,5,6,7,6,6,8,8,6,8,RGB6,0
234952,6,4,2,8,6,5,8,5,6,8,6,8,9,9,9,9,5,RGB4,0
475774,6,4,2,8,6,5,10,7,8,7,8,6,9,8,8,8,7,RGB9,0
324670,1,4,2,10,7,8,5,5,3,9,7,3,10,9,10,9,9,RGB5,0
880357,3,4,1,6,6,8,7,6,3,5,6,5,5,6,5,7,7,RGB7,0
718084,3,5,1,9,8,8,7,10,8,8,7,8,8,10,5,6,8,RGB2,0
103045,6,3,2,7,8,7,7,6,5,7,6,5,7,6,-1,8,6,RGB7,0
780204,1,3,1,0,5,5,8,0,0,3,1,2,6,10,0,8,0,RGB9,0
375291,1,3,1,2,3,4,1,5,0,2,2,2,3,6,4,4,5,RGB9,0
682972,1,4,1,7,5,6,7,8,7,7,7,8,9,8,8,8,6,RGB4,0
359351,1,2,1,9,7,7,9,8,4,2,9,8,7,10,10,8,5,RGB1,0
502907,2,2,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,RGB1,0
864898,3,5,2,8,7,8,8,4,8,7,5,6,7,7,6,7,7,RGB4,0
223184,0,5,1,2,4,7,7,7,6,3,8,7,8,9,5,9,5,RGB8,0
675892,1,4,1,9,10,10,10,8,9,7,6,7,8,9,10,9,8,RGB3,0
477748,6,2,2,5,2,2,4,5,3,2,2,5,5,7,5,6,2,RGB7,1
112604,1,4,1,4,8,9,5,7,4,2,6,5,4,4,5,9,2,RGB8,0
388480,2,3,1,7,6,7,8,7,7,7,6,7,7,8,7,8,8,RGB1,0
546097,2,3,1,5,9,8,5,9,8,6,8,7,7,10,9,10,6,RGB7,0
957944,6,4,2,10,10,9,9,10,6,8,9,6,10,9,9,4,8,RGB1,0
841621,0,5,1,10,9,10,10,9,9,10,10,7,10,9,7,9,8,RGB3,0
103626,1,3,1,6,7,8,7,5,8,6,6,5,10,9,9,10,8,RGB3,0
725657,6,2,2,9,7,8,8,7,8,8,8,7,8,9,7,7,8,RGB10,0
960322,2,3,1,8,4,6,8,8,6,6,8,8,8,7,8,5,6,RGB3,0
406380,2,3,1,6,10,9,8,10,7,4,6,10,8,10,8,8,6,RGB5,1
802440,3,4,1,4,6,7,8,6,5,6,9,6,7,8,7,7,6,RGB10,0
589431,3,3,1,6,1,8,8,4,2,1,6,8,8,8,8,9,2,RGB3,0
337154,6,2,2,6,6,3,5,5,5,3,3,4,5,6,5,6,5,RGB2,0
261776,3,5,1,9,10,10,8,7,10,10,5,8,9,10,5,10,8,RGB4,0
947717,6,4,2,7,9,8,7,6,4,3,6,9,7,9,8,10,8,RGB7,0
585890,1,2,1,3,7,2,7,7,7,7,5,5,9,9,7,7,3,RGB8,1
264585,1,2,1,7,8,7,5,8,6,6,6,7,10,7,8,9,7,RGB4,0
725355,3,3,2,5,4,4,7,5,5,7,6,5,7,8,8,8,5,RGB2,0
335432,1,4,1,2,6,7,4,4,4,6,3,7,3,4,6,8,4,RGB7,1
900387,0,5,1,7,6,8,4,6,6,6,7,6,7,8,7,7,7,RGB5,0
647790,0,5,2,7,5,7,5,8,5,5,5,7,6,5,5,7,7,RGB1,0
512274,3,4,1,10,10,8,8,9,7,8,8,9,10,9,10,10,7,RGB4,0
317677,0,5,1,6,4,6,10,8,5,6,7,8,5,10,10,10,5,RGB5,0
775928,2,2,1,6,10,8,6,7,5,7,7,6,10,9,9,10,9,RGB4,0
935574,1,3,2,9,8,9,9,6,10,9,7,9,9,10,9,10,8,RGB9,0
696109,0,5,1,10,8,8,10,8,10,10,8,9,8,5,10,9,10,RGB4,0
296053,6,2,2,2,6,9,10,7,8,7,7,10,9,5,8,10,6,RGB6,0
628096,0,2,2,7,4,6,8,8,5,8,8,9,8,8,8,8,7,RGB4,0
854626,6,2,2,8,8,9,7,8,7,6,7,8,7,7,8,8,7,RGB8,1
903413,6,5,2,10,10,5,5,5,5,10,3,5,10,10,5,0,3,RGB1,1
318877,3,4,1,7,7,3,5,8,6,6,5,7,6,6,8,8,6,RGB1,0
358851,3,5,2,7,5,6,8,6,7,6,8,7,9,8,8,9,6,RGB3,0
912923,6,3,2,5,6,5,5,5,5,6,5,6,6,7,6,6,6,RGB10,0
530679,2,5,2,5,6,6,9,4,9,8,9,6,9,10,8,7,7,RGB10,0
299091,0,5,1,10,10,9,5,9,5,3,4,8,5,5,4,8,6,RGB6,1
379780,2,2,2,7,10,10,9,8,9,9,8,7,9,8,7,8,7,RGB3,0
920566,6,5,2,9,8,6,8,0,6,4,6,3,9,8,-2,10,5,RGB1,0
650355,1,5,1,9,8,5,6,8,6,6,7,6,8,8,8,7,3,RGB4,0
318436,1,4,2,4,7,4,7,7,5,4,4,-1,8,7,-1,0,4,RGB8,1
269643,6,4,2,6,5,6,6,7,6,8,7,5,7,6,7,8,4,RGB8,0
347689,2,2,2,5,5,7,5,8,5,6,7,6,6,5,5,7,5,RGB2,0
213818,0,5,1,7,6,8,7,8,8,6,9,7,6,4,6,8,6,RGB8,0
980961,6,4,2,9,9,9,8,9,5,3,6,8,8,7,8,7,7,RGB8,0
439855,6,3,2,6,7,6,8,6,4,6,6,7,5,9,6,6,7,RGB7,0
347187,1,4,1,6,8,7,7,8,7,7,9,7,7,8,9,7,7,RGB9,0
397337,6,4,2,9,9,9,6,9,6,9,9,9,9,9,9,7,9,RGB6,0
442849,0,5,1,7,8,5,7,9,8,4,6,9,9,8,7,7,6,RGB10,0
161679,3,3,1,8,10,4,10,8,9,8,8,10,9,9,10,10,7,RGB5,0
679844,3,5,1,6,10,3,6,10,3,5,4,4,5,10,4,3,2,RGB1,0
466323,2,4,1,5,4,6,6,5,4,4,6,5,5,7,5,7,5,RGB6,0
867557,2,2,2,10,8,7,10,9,8,9,8,9,8,5,9,9,10,RGB1,0
152426,3,4,2,8,6,8,8,8,6,8,8,7,7,7,8,7,5,RGB7,0
371502,2,3,2,8,5,6,9,8,5,8,8,8,7,8,8,9,5,RGB4,0
229833,1,3,1,4,9,4,8,6,6,5,7,8,8,9,8,9,5,RGB2,0
667531,6,4,2,8,5,6,8,8,5,8,8,8,9,8,7,8,6,RGB4,0
309069,2,2,1,10,9,10,9,10,9,10,8,10,9,10,9,10,10,RGB6,1
171251,2,2,2,2,6,7,5,7,3,6,3,7,2,-1,7,4,5,RGB9,0
517380,0,3,2,5,5,5,5,5,4,5,5,5,5,5,-1,7,6,RGB5,0
823426,4,1,2,10,10,8,8,8,10,8,8,8,8,10,10,8,10,RGB5,0
154108,6,4,2,8,5,4,10,9,5,8,5,8,6,10,7,10,3,RGB6,0
142735,6,4,2,9,8,10,0,4,8,10,9,-1,10,10,10,0,8,RGB5,1
181399,3,5,1,5,5,4,3,5,3,4,0,5,4,6,2,3,0,RGB8,0
691081,0,5,1,4,10,8,9,5,8,3,9,9,10,10,6,9,10,RGB1,0
677159,1,4,1,8,7,8,7,7,8,7,8,7,9,9,9,7,8,RGB9,0
338539,2,2,1,5,5,0,5,5,0,2,0,5,6,10,5,2,0,RGB5,1
122247,6,2,2,5,3,8,8,9,4,8,3,8,6,7,6,5,3,RGB10,0
846316,1,2,1,4,4,7,10,2,8,7,5,4,10,5,6,8,8,RGB10,0
874500,3,4,*,7,5,7,5,7,6,7,7,6,7,6,5,7,6,RGB6,1
590896,6,5,2,0,0,6,0,0,6,0,6,0,9,0,8,0,0,RGB1,0
181826,1,3,1,5,3,5,1,3,1,1,1,3,1,1,1,3,1,RGB2,1
392940,1,3,1,7,6,7,7,7,7,6,7,8,6,5,7,8,8,RGB8,1
512683,1,2,2,8,10,8,7,7,9,8,6,5,10,8,9,9,9,RGB3,0
439988,1,4,1,9,6,6,7,5,6,4,8,8,7,9,9,9,9,RGB8,0
265395,1,3,1,9,9,9,4,8,6,7,8,9,9,9,8,10,8,RGB6,1
505760,0,5,1,7,6,7,7,7,5,5,7,6,7,7,8,6,5,RGB8,0
348232,1,4,1,8,4,9,8,7,6,6,8,7,8,9,8,8,7,RGB3,0
